objectid,filename,recordtile,eventitle,eventtype,eventdate,eventlocation,eventcontributor,eventorganizer,postercreator,postertype,posterdescriptors,filename,fileformat,filesize,digitizationdate,rightsinformation
SQI_PO_00201,SQI_PO_00201.jpg,Sing to Me Through Open Windows by Arthur Kopit,Sing to Me Through Open Windows,One-Act Play,04-28; 04-29; 04-30,Performing Arts Building,"Kopit, Arthur, 1937-2021",Virginia Tech Theatre Arts,,Theatrical posters,Surrealist,SQI_PO_00201,jpeg,2.9 MB,,
SQI_PO_00202,SQI_PO_00202.jpg,Ghost by Ibsen,Ghosts,Three-Act Play,07-22; 07-23; 07-24; 07-25; 07-26,,"Ibsen, Henrik, 1828-1906",,,Theatrical posters,Minimal; Silhouettes,SQI_PO_00202,jpeg,1.8 MB,,
SQI_PO_00203,SQI_PO_00203.jpg,Last Chance Jazz Before Exams,Last Chance Jazz Before Exams,Jazz Concert,4/29/1998,Haymarket Theatre,"The University Jazz Ensemble; Marks, Dennis",Virginia Tech School of Arts and Music Department,,Concert posters,,SQI_PO_00203,jpeg,2.5 MB,,
